min,line,coderate,p2p,platform,isp,value,cnt
1590812280,5,2000,1,ipad,电信,1,4
1590812280,7,2000,1,ios,海外,1,2
1590812280,7,500,1,adr,小运营商,0,3
1590812280,3,4000,0,adr_tv,移动,0,3
1590812280,5,2000,1,ios,移动,0,19
1590812280,7,2000,0,adr,电信,4,15
1590812280,7,4000,0,webh5,电信,0,9
1590812280,7,4000,0,pc_exe,电信,0,54
1590812280,7,4000,0,pc_exe,联通,0,18
1590812280,3,500,1,adr,电信,1,11
1590812280,7,500,1,ipad,移动,0,5
1590812280,5,2000,0,ios,联通,1,28
1590812280,5,2000,1,adr,小运营商,0,6
1590812280,7,4000,1,ipad,移动,1,2
1590812280,3,500,0,adr,移动,0,6
1590812280,3,4000,1,adr,电信,0,44
1590812280,7,4000,1,ios,教育网,0,1
1590812280,7,4000,0,adr_tv,移动,0,3
1590812280,5,2000,1,adr,移动,0,27
1590812280,7,4000,1,adr,小运营商,0,9
1590812280,7,2000,1,ipad,小运营商,0,6
1590812280,7,0,1,adr_tv,移动,0,3
1590812280,7,4000,1,ipad,电信,0,9
1590812280,7,2000,0,ios,移动,0,5
1590812280,7,4000,0,pc_exe,小运营商,0,6
1590812280,7,500,1,ipad,联通,0,3
1590812280,7,500,1,adr,海外,0,3
1590812280,7,4000,0,webh5,移动,0,3
1590812280,7,4000,1,adr,海外,0,3
1590812280,7,4000,0,adr_tv,电信,0,3
1590812280,7,2000,0,pc_exe,联通,0,3
1590812280,5,4000,1,webh5,移动,0,4
1590812280,5,0,0,adr,移动,0,1
1590812280,7,4000,1,ios,联通,2,28
1590812280,7,500,1,pc_exe,移动,0,6
1590812280,5,500,0,adr_tv,电信,0,3
1590812280,3,4000,0,pc_exe,移动,0,3
1590812280,3,500,1,ios,移动,0,3
1590812280,3,-1,0,adr_tv,电信,0,1
1590812280,3,2000,1,ipad,电信,0,3
1590812280,5,0,0,adr_tv,移动,0,9
1590812280,5,0,1,ipad,小运营商,0,1
1590812280,3,2000,0,adr_tv,移动,1,21
1590812280,5,4000,1,ios,移动,4,27
1590812280,3,2000,1,ios,教育网,0,3
1590812280,7,2000,1,ios,联通,1,14
1590812280,7,500,1,adr,移动,2,56
1590812280,7,2000,1,adr,教育网,0,3
