min,cdn,bitrate,p2p,device,isp,value,cnt
1590822840,5,4000,1,adr,小运营商,12,981
1590822840,5,500,0,adr_tv,移动,2,27
1590822840,13,500,1,ios,移动,16,355
1590822840,3,8000,0,adr_tv,移动,0,31
1590822840,13,500,0,adr_tv,联通,0,3
1590822840,8,500,0,adr,联通,3,142
1590822840,8,2000,1,ios,联通,51,1613
1590822840,6,4000,0,webh5,小运营商,0,103
1590822840,8,2000,0,adr,电信,20,288
1590822840,6,2000,0,ipad,电信,1,79
1590822840,7,0,0,adr_tv,小运营商,1,54
1590822840,8,500,1,ios,电信,44,958
1590822840,5,2000,1,ios,移动,228,7400
1590822840,3,8000,0,webh5,小运营商,0,5
1590822840,13,2000,0,adr_tv,移动,0,16
1590822840,3,4000,0,pc_exe,移动,10,1962
1590822840,7,500,1,webh5,阿里云,0,5
1590822840,3,2000,0,web,小运营商,0,20
1590822840,13,2000,0,adr,移动,0,32
1590822840,5,2000,0,adr_tv,联通,10,154
1590822840,6,8000,0,adr_tv,电信,6,138
1590822840,7,2000,1,webh5,电信,21,8099
1590822840,3,4000,1,ipad,电信,13,702
1590822840,13,4000,1,adr,电信,14,2137
1590822840,6,8000,0,webh5,教育网,0,2
1590822840,13,0,1,ios,联通,1,25
1590822840,4,2000,1,ios,移动,0,4
1590822840,6,500,1,webh5,阿里云,0,7
1590822840,3,2000,1,adr,海外,4,398
1590822840,13,4000,0,ios,联通,1,13
1590822840,15,500,0,ipad,电信,0,6
1590822840,3,2000,0,webh5,联通,2,292
1590822840,3,4000,0,web,电信,2,254
1590822840,5,500,1,gamelive,电信,0,3
1590822840,6,4000,0,pc_exe,电信,59,12340
1590822840,7,500,1,pc_exe,电信,7,54
1590822840,6,500,0,ipad,移动,0,5
1590822840,7,4000,1,ipad,移动,9,346
1590822840,8,2000,1,webh5,小运营商,0,166
1590822840,13,2000,1,ipad,教育网,0,3
1590822840,6,2000,1,pc_exe,移动,10,287
1590822840,15,8000,0,pc_exe,海外,0,13
1590822840,5,4000,0,adr,教育网,0,3
1590822840,5,8000,1,pc_exe,移动,2,121
1590822840,7,4000,0,pc_exe,电信,51,10033
1590822840,6,8000,0,pc_exe,阿里云,0,3
1590822840,6,500,1,pc_exe,电信,5,26
1590822840,7,500,0,ipad,移动,0,11
1590822840,7,500,1,adr,未知,0,3
1590822840,6,4000,1,ipad,移动,4,475
1590822840,8,0,0,adr,移动,0,39
1590822840,5,0,1,ios,电信,32,697
1590822840,8,500,0,webh5,移动,0,13
1590822840,3,4000,1,webh5,未知,0,11
1590822840,3,8000,1,adr,教育网,0,6
1590822840,6,2000,1,webh5,电信,30,10922
1590822840,5,0,0,adr,联通,5,1022
1590822840,7,500,0,webh5,小运营商,0,14
1590822840,8,500,1,adr,小运营商,3,69
1590822840,3,4000,0,webh5,电信,1,524
1590822840,7,8000,1,ios,联通,19,389
1590822840,5,2000,0,ipad,联通,0,42
1590822840,13,0,0,adr_tv,电信,3,123
1590822840,13,8000,1,pc_exe,联通,0,54
1590822840,7,8000,0,webh5,小运营商,0,10
1590822840,15,4000,1,ipad,电信,1,111
1590822840,15,8000,0,webh5,移动,0,1
1590822840,6,4000,0,web,移动,0,7
1590822840,13,500,0,ipad,联通,0,6
1590822840,3,8000,1,ipad,教育网,0,3
1590822840,3,500,0,webh5,小运营商,0,7
1590822840,5,4000,1,adr,移动,150,11778
1590822840,3,500,1,webh5,海外,0,96
1590822840,13,4000,1,webh5,小运营商,0,68
1590822840,3,500,0,ios,海外,0,16
1590822840,15,8000,1,adr,小运营商,2,50
1590822840,13,8000,1,adr,海外,0,3
1590822840,5,2000,0,webh5,教育网,0,4
1590822840,8,4000,1,adr,联通,47,3114
1590822840,8,4000,0,ios,电信,7,39
1590822840,5,2000,0,ipad,小运营商,0,6
1590822840,8,500,0,pc_exe,海外,0,10
1590822840,8,500,1,ipad,教育网,0,6
1590822840,3,8000,0,webh5,移动,0,64
1590822840,13,0,0,adr,电信,0,15
1590822840,15,2000,1,webh5,小运营商,0,27
1590822840,5,4000,1,pc_exe,联通,1,41
1590822840,15,4000,0,webh5,海外,0,2
1590822840,8,2000,0,adr_tv,小运营商,0,3
1590822840,7,0,1,adr_tv,移动,0,3
1590822840,6,4000,0,web,联通,0,13
1590822840,15,2000,1,pc_exe,联通,0,12
1590822840,15,8000,0,pc_exe,电信,1,469
1590822840,13,4000,1,pc_exe,移动,0,90
1590822840,5,2000,0,webh5,海外,0,35
1590822840,7,2000,1,pc_exe,移动,13,236
1590822840,15,500,1,ios,小运营商,0,26
1590822840,7,2000,0,webh5,小运营商,0,69
1590822840,6,2000,0,webh5,未知,0,6
1590822840,15,4000,1,ios,海外,0,38
1590822840,8,4000,1,adr,移动,60,5031
1590822840,3,500,1,webh5,电信,0,1039
1590822840,6,2000,0,ios,联通,7,173
1590822840,5,4000,1,pc_exe,海外,1,1
1590822840,3,0,1,ios,小运营商,0,72
1590822840,8,2000,1,ios,移动,96,3994
1590822840,8,4000,1,pc_exe,教育网,0,9
1590822840,5,500,0,pc_exe,海外,0,1
1590822840,6,4000,0,web,海外,0,3
1590822840,6,500,0,adr,小运营商,4,32
1590822840,7,4000,1,adr,小运营商,14,1000
1590822840,15,2000,0,webh5,联通,1,262
1590822840,3,500,0,ipad,电信,3,21
1590822840,13,500,0,adr,电信,6,27
1590822840,7,8000,0,webh5,教育网,0,2
1590822840,5,4000,1,adr,海外,3,125
1590822840,6,8000,0,adr_tv,海外,0,3
1590822840,13,500,1,ios,联通,7,164
1590822840,8,2000,0,adr_tv,联通,8,114
1590822840,3,500,0,ios,移动,10,129
1590822840,15,2000,1,adr,海外,0,54
1590822840,5,4000,0,webh5,联通,0,31
1590822840,6,2000,1,adr,电信,658,36535
1590822840,8,2000,1,ipad,电信,21,1116
1590822840,3,4000,0,webh5,海外,0,56
1590822840,5,500,1,adr,小运营商,1,184
1590822840,8,500,1,gamelive,电信,0,9
1590822840,6,8000,0,adr_tv,联通,4,54
1590822840,6,2000,1,webh5,海外,3,519
1590822840,15,2000,0,adr_tv,小运营商,1,12
1590822840,13,4000,1,ios,小运营商,0,42
1590822840,3,8000,1,adr,小运营商,5,148
1590822840,7,500,1,pc_exe,联通,2,13
1590822840,6,4000,0,pc_exe,联通,26,4778
1590822840,5,2000,0,ios,小运营商,2,7
1590822840,15,500,1,pc_exe,移动,0,3
1590822840,5,8000,1,webh5,电信,4,557
1590822840,15,500,1,webh5,海外,0,4
1590822840,13,4000,1,ipad,联通,0,54
1590822840,13,500,1,ipad,海外,0,6
1590822840,3,2000,1,pc_exe,联通,10,66
1590822840,8,2000,0,ios,小运营商,0,8
1590822840,8,8000,1,webh5,电信,8,2159
1590822840,7,4000,0,web,联通,0,4
1590822840,8,500,0,adr_tv,移动,0,3
1590822840,5,0,0,adr,移动,0,129
1590822840,6,4000,0,adr,海外,0,24
1590822840,3,2000,0,web,教育网,0,3
1590822840,3,2000,1,pc_exe,电信,7,167
1590822840,5,500,0,webh5,移动,0,14
1590822840,6,8000,1,ipad,海外,0,37
1590822840,7,8000,0,ipad,联通,0,3
1590822840,13,2000,0,pc_exe,海外,0,5
1590822840,7,500,0,webh5,联通,0,63
1590822840,5,500,1,ios,电信,54,1547
1590822840,5,2000,0,adr,电信,56,2419
1590822840,6,4000,1,webh5,联通,31,20590
1590822840,3,8000,0,adr,联通,0,3
1590822840,5,500,0,adr,联通,80,7377
1590822840,5,2000,1,ios,联通,131,3925
1590822840,6,0,0,adr_tv,未知,0,3
1590822840,3,8000,1,ios,电信,39,1524
1590822840,7,2000,0,ios,海外,3,31
1590822840,13,500,0,adr_tv,电信,0,12
1590822840,6,8000,1,ios,移动,31,1555
1590822840,7,500,1,adr,海外,24,148
1590822840,8,8000,1,webh5,海外,0,42
1590822840,5,4000,0,adr,小运营商,1,24
1590822840,15,4000,0,webh5,电信,0,73
1590822840,6,8000,1,webh5,未知,0,4
1590822840,15,0,0,ios,联通,3,26
1590822840,15,500,1,webh5,小运营商,0,5
1590822840,7,4000,0,adr,联通,9,406
1590822840,6,500,1,adr,联通,104,4505
1590822840,6,2000,1,webh5,教育网,1,165
1590822840,3,4000,0,ipad,联通,0,3
1590822840,15,8000,1,webh5,小运营商,0,17
1590822840,13,2000,0,pc_exe,联通,1,21
1590822840,5,8000,1,ipad,小运营商,0,19
1590822840,15,2000,1,adr,移动,30,1396
1590822840,8,2000,1,ios,海外,7,224
1590822840,3,4000,0,adr_tv,电信,46,833
1590822840,5,2000,0,pc_exe,移动,0,42
1590822840,5,4000,0,ipad,移动,0,1
1590822840,5,4000,1,adr,未知,0,6
1590822840,13,2000,1,pc_exe,小运营商,0,3
1590822840,255,0,0,ios,联通,0,1
1590822840,3,2000,0,adr,小运营商,1,67
1590822840,3,4000,1,ios,阿里云,0,4
1590822840,6,500,0,ios,电信,7,154
1590822840,8,500,1,ipad,移动,0,45
1590822840,7,2000,1,adr,电信,517,27893
1590822840,5,500,1,webh5,联通,0,21
1590822840,3,-1,0,adr_tv,电信,0,4
1590822840,7,2000,0,ios,联通,13,189
1590822840,15,4000,0,adr_tv,电信,5,154
1590822840,5,8000,0,ios,移动,1,23
1590822840,3,500,0,ios,联通,3,293
1590822840,13,500,1,ipad,电信,2,37
1590822840,3,500,1,adr,电信,84,3962
1590822840,3,2000,1,adr,移动,264,16046
1590822840,6,2000,0,ios,移动,11,307
1590822840,5,4000,1,webh5,阿里云,0,1
1590822840,8,4000,1,pc_exe,小运营商,2,38
1590822840,7,8000,1,ios,海外,2,32
1590822840,255,0,1,adr,电信,0,15
1590822840,3,8000,0,pc_exe,教育网,0,21
1590822840,7,4000,1,ios,电信,311,9463
1590822840,15,2000,0,adr,小运营商,0,8
1590822840,6,2000,1,ios,教育网,0,61
1590822840,3,8000,0,web,移动,3,219
1590822840,15,500,0,pc_exe,移动,0,10
1590822840,13,2000,1,webh5,联通,2,58
1590822840,7,2000,0,pc_exe,未知,0,3
1590822840,13,8000,1,ipad,移动,3,65
1590822840,8,4000,1,adr,教育网,0,40
1590822840,6,2000,0,webh5,海外,2,70
1590822840,6,4000,1,adr,海外,17,173
1590822840,7,500,0,adr,海外,1,63
1590822840,15,500,0,ios,联通,1,43
1590822840,5,2000,1,webh5,小运营商,1,41
1590822840,6,4000,0,webh5,联通,2,654
1590822840,5,0,0,adr,教育网,0,3
1590822840,7,500,1,webh5,联通,2,1162
1590822840,5,2000,1,adr,电信,299,13672
1590822840,8,4000,0,ios,移动,1,40
1590822840,3,8000,1,adr,联通,18,1707
1590822840,5,2000,0,ios,联通,252,13044
1590822840,5,8000,1,webh5,教育网,0,10
1590822840,3,0,0,ios,联通,2,25
1590822840,15,500,1,adr,电信,17,690
1590822840,7,500,0,pc_exe,联通,0,108
1590822840,6,0,0,ios,电信,1,22
1590822840,6,8000,0,webh5,电信,0,342
1590822840,5,4000,0,webh5,小运营商,0,9
1590822840,15,8000,0,pc_exe,教育网,0,3
1590822840,6,2000,1,ios,小运营商,18,591
1590822840,13,4000,1,webh5,海外,0,126
1590822840,15,4000,1,ios,阿里云,0,3
1590822840,255,500,0,ios,联通,0,4
1590822840,5,8000,1,ios,小运营商,1,45
1590822840,13,2000,0,adr,海外,0,6
1590822840,5,2000,0,webh5,电信,4,870
1590822840,6,2000,1,ipad,小运营商,4,324
1590822840,7,500,0,gamelive,电信,0,3
1590822840,5,500,0,pc_exe,电信,0,1
1590822840,6,8000,0,pc_exe,移动,18,3336
1590822840,3,2000,1,webh5,移动,4,1341
1590822840,6,4000,1,pc_exe,联通,28,1150
1590822840,8,2000,1,ipad,联通,8,539
1590822840,3,4000,1,ios,移动,196,3620
1590822840,3,4000,0,adr_tv,联通,20,328
1590822840,5,500,0,adr,海外,0,24
1590822840,8,4000,1,adr,海外,4,51
1590822840,15,4000,0,adr_tv,联通,6,62
1590822840,8,2000,0,webh5,海外,0,14
1590822840,6,4000,1,adr,教育网,5,151
1590822840,7,2000,1,webh5,海外,1,241
1590822840,7,500,0,adr,教育网,0,3
1590822840,3,4000,0,ios,小运营商,0,5
1590822840,6,500,1,pc_exe,联通,2,27
1590822840,3,8000,0,pc_exe,海外,1,86
1590822840,3,8000,1,ipad,移动,1,650
1590822840,7,4000,0,pc_exe,联通,24,3958
1590822840,5,0,0,adr_tv,移动,6,353
1590822840,13,0,1,ios,移动,2,96
1590822840,8,2000,1,ipad,海外,0,93
1590822840,5,0,0,adr,海外,0,6
1590822840,8,4000,1,pc_exe,联通,7,241
1590822840,15,4000,0,pc_exe,移动,0,139
1590822840,8,500,1,adr,教育网,1,4
1590822840,13,8000,1,pc_exe,电信,0,165
1590822840,15,4000,1,ios,移动,13,516
1590822840,8,500,0,adr,移动,9,231
1590822840,3,2000,0,ipad,移动,2,66
1590822840,6,4000,0,pc_exe,教育网,0,67
1590822840,3,2000,1,adr,未知,0,3
1590822840,5,4000,1,webh5,移动,1,586
1590822840,7,8000,1,ipad,海外,1,15
1590822840,6,8000,0,ipad,联通,0,9
1590822840,7,4000,1,adr_test,电信,0,3
1590822840,13,2000,1,ios,电信,22,573
1590822840,13,2000,0,adr,联通,0,21
1590822840,8,4000,0,webh5,联通,0,79
1590822840,5,8000,0,ipad,电信,0,9
1590822840,5,2000,1,ipad,电信,63,3370
1590822840,5,2000,0,adr_tv,电信,19,324
1590822840,3,500,0,pc_exe,未知,0,3
1590822840,15,500,0,ios,海外,0,6
1590822840,6,8000,0,pc_exe,小运营商,0,221
1590822840,13,8000,1,adr,联通,1,129
1590822840,7,4000,0,adr_tv,移动,20,499
1590822840,7,8000,0,web,电信,0,42
1590822840,13,0,0,adr_tv,联通,0,39
1590822840,6,500,0,webh5,联通,1,84
1590822840,13,2000,0,web,联通,0,3
1590822840,7,8000,0,webh5,海外,0,23
1590822840,6,500,0,pc_exe,小运营商,0,14
1590822840,5,500,0,pc_exe,联通,0,6
1590822840,8,2000,0,web,电信,0,43
1590822840,6,0,1,adr_tv,移动,0,3
1590822840,3,2000,1,pc_exe,海外,0,3
1590822840,13,500,0,pc_exe,移动,0,7
1590822840,15,8000,1,ipad,移动,0,63
1590822840,13,2000,0,pc_exe,电信,0,50
1590822840,8,500,0,web,移动,0,23
1590822840,15,2000,1,webh5,移动,0,64
1590822840,8,4000,1,pc_exe,电信,15,665
1590822840,7,-1,0,adr_tv,移动,1,1
1590822840,7,500,1,pc_exe,海外,0,3
1590822840,6,4000,0,pc_exe,海外,0,203
1590822840,15,4000,0,ios,小运营商,1,1
1590822840,3,4000,0,webh5,教育网,0,6
1590822840,8,8000,1,adr,电信,31,1345
1590822840,6,8000,1,ipad,电信,16,1039
1590822840,13,500,0,webh5,电信,0,7
1590822840,7,2000,0,ipad,海外,3,6
1590822840,7,4000,1,webh5,联通,14,15150
1590822840,6,2000,1,ipad,联通,26,2491
1590822840,4,2000,1,ios,联通,0,1
1590822840,7,0,0,adr_tv,未知,0,3
1590822840,6,500,1,adr,海外,14,239
1590822840,7,4000,0,adr,海外,0,22
1590822840,3,2000,1,webh5,阿里云,0,5
1590822840,3,2000,0,webh5,小运营商,0,51
1590822840,255,4000,1,ios,移动,2,13
1590822840,7,500,1,webh5,移动,1,975
1590822840,6,4000,0,webh5,移动,2,834
1590822840,5,8000,1,ipad,联通,3,300
1590822840,7,500,1,adr,移动,167,9361
1590822840,6,4000,0,adr,移动,19,871
1590822840,7,500,0,adr,小运营商,2,29
1590822840,6,4000,1,adr,小运营商,21,1194
1590822840,8,2000,0,adr_tv,海外,0,9
1590822840,7,0,0,adr,小运营商,0,15
1590822840,8,8000,1,pc_exe,移动,0,158
1590822840,13,2000,0,webh5,移动,0,228
1590822840,3,8000,0,web,联通,0,165
1590822840,8,2000,0,webh5,电信,4,882
1590822840,5,8000,1,adr,阿里云,0,3
