min,cdn,bitrate,p2p,device,isp,value,cnt
1591040280,13,2000,0,ipad,电信,0,3
1591040280,6,2000,0,pc_exe,移动,1,9
1591040280,6,4000,1,adr,小运营商,0,12
1591040280,3,4000,0,adr_tv,移动,3,15
1591040280,3,2000,1,ipad,电信,0,27
1591040280,5,2000,0,adr,电信,0,12
1591040280,3,2000,1,webh5,电信,0,15
1591040280,3,500,0,adr,电信,0,3
1591040280,3,2000,0,pc_exe,联通,0,5
1591040280,7,4000,0,pc_exe,联通,0,1
1591040280,7,4000,0,pc_exe,海外,0,3
1591040280,13,2000,1,ios,电信,0,10
1591040280,7,4000,1,ios,海外,0,3
1591040280,6,500,1,ios,联通,0,3
1591040280,7,4000,1,webh5,海外,0,3
1591040280,15,2000,1,adr,联通,0,9
1591040280,3,4000,1,adr,电信,1,48
1591040280,3,4000,1,adr,移动,0,37
1591040280,6,500,1,adr,联通,4,12
1591040280,7,2000,1,adr,移动,0,88
1591040280,3,10000,1,pc_exe,电信,0,3
1591040280,3,500,1,adr,移动,11,40
1591040280,15,4000,0,adr_tv,电信,0,3
1591040280,3,4000,1,ipad,联通,0,3
1591040280,13,2000,1,adr,小运营商,0,3
1591040280,7,10000,1,webh5,电信,0,6
1591040280,15,500,1,adr,移动,0,3
1591040280,3,10000,1,adr,联通,0,3
1591040280,3,2000,1,webh5,小运营商,0,3
1591040280,6,2000,1,pc_exe,联通,0,9
1591040280,13,500,1,adr,电信,0,3
1591040280,5,4000,0,adr,联通,0,3
1591040280,5,2000,1,ipad,海外,0,3
1591040280,6,4000,1,adr,电信,0,81
1591040280,6,2000,1,pc_exe,移动,0,15
1591040280,3,500,1,webh5,电信,0,9
1591040280,13,4000,1,ios,联通,0,3
1591040280,7,10000,1,adr,联通,0,3
1591040280,7,2000,0,pc_exe,电信,0,3
1591040280,7,500,1,adr,联通,3,7
1591040280,5,4000,1,ios,移动,0,11
1591040280,13,0,0,adr_tv,电信,0,3
1591040280,3,2000,0,pc_exe,电信,0,3
1591040280,6,500,0,adr,移动,2,6
1591040280,7,500,1,webh5,电信,0,10
1591040280,3,10000,1,pc_exe,联通,0,3
1591040280,6,2000,0,ios,移动,0,3
1591040280,15,2000,0,ipad,电信,0,3
1591040280,6,2000,1,ios,联通,2,21
1591040280,3,2000,1,adr,联通,0,29
1591040280,3,10000,1,ios,联通,0,1
1591040280,7,4000,1,ios,移动,0,23
1591040280,3,4000,0,adr,电信,0,3
1591040280,5,9765,1,ios,移动,0,5
1591040280,3,500,1,webh5,移动,0,1
1591040280,3,2000,0,adr_tv,移动,3,9
1591040280,7,0,0,adr_tv,电信,0,9
1591040280,3,10000,1,ios,电信,0,1
1591040280,5,2000,1,adr,移动,0,66
1591040280,6,500,1,adr,小运营商,1,3
1591040280,7,4000,1,pc_exe,移动,0,6
1591040280,3,4000,1,webh5,电信,0,10
1591040280,15,2000,0,adr_tv,电信,0,3
1591040280,7,8000,1,pc_exe,联通,0,6
1591040280,6,0,0,adr,电信,0,6
1591040280,13,4000,1,ios,电信,0,2
1591040280,6,2000,1,adr,小运营商,0,9
1591040280,6,2000,0,pc_exe,小运营商,0,3
1591040280,5,500,0,ios,联通,0,12
1591040280,5,2000,0,ipad,电信,0,3
1591040280,7,2000,1,pc_exe,移动,0,12
1591040280,7,10000,1,ios,电信,0,10
1591040280,5,4000,1,adr,移动,0,45
1591040280,3,0,0,adr_tv,电信,0,12
1591040280,7,500,1,webh5,移动,0,5
1591040280,5,500,1,adr,移动,6,21
1591040280,6,10000,1,webh5,电信,0,2
1591040280,6,2000,1,adr,电信,0,94
1591040280,13,2000,1,adr,联通,0,6
1591040280,5,10000,1,ios,电信,0,4
1591040280,4,2000,0,ios,移动,0,1
1591040280,7,500,1,webh5,联通,0,12
1591040280,7,2000,1,webh5,阿里云,0,3
1591040280,6,4000,1,pc_exe,电信,0,5
1591040280,7,500,0,adr,联通,1,3
1591040280,15,500,1,adr,电信,0,6
1591040280,15,4000,1,adr,电信,0,3
1591040280,5,10000,1,adr,联通,0,6
1591040280,6,500,1,pc_exe,联通,0,2
1591040280,7,500,1,webh5,海外,0,6
1591040280,15,2000,1,ios,电信,0,7
1591040280,7,4000,1,webh5,联通,0,3
1591040280,13,2000,1,adr,电信,0,3
1591040280,7,10000,0,pc_exe,联通,0,2
1591040280,15,2000,1,ios,小运营商,0,3
1591040280,6,2000,0,adr,移动,0,3
1591040280,6,500,1,adr,电信,4,23
1591040280,6,2000,0,adr_tv,电信,3,6
1591040280,3,2000,1,webh5,移动,0,9
1591040280,6,500,0,webh5,海外,0,2
1591040280,7,2000,0,adr_tv,小运营商,3,3
1591040280,3,2000,1,webh5,联通,0,8
1591040280,6,4000,1,ios,电信,0,23
1591040280,3,10000,0,pc_exe,电信,0,4
1591040280,6,10000,0,pc_exe,电信,0,3
