min,line,coderate,p2p,platform,isp,value,cnt
1590840240,5,4000,1,ios,电信,0,24
1590840240,3,2000,1,ipad,移动,0,15
1590840240,7,2000,1,webh5,联通,0,222
1590840240,3,8000,1,ios,联通,0,4
1590840240,5,2000,0,ios,联通,0,124
1590840240,7,8000,0,pc_exe,移动,0,82
1590840240,5,500,1,adr,海外,0,2
1590840240,5,2000,0,ios,电信,0,9
1590840240,3,500,0,pc_exe,电信,0,1
1590840240,7,2000,0,webh5,小运营商,1,2
1590840240,7,2000,1,ios,海外,3,18
1590840240,3,8000,1,ios,电信,0,8
1590840240,7,500,0,adr,电信,0,9
1590840240,5,2000,1,webh5,小运营商,0,3
1590840240,7,8000,0,webh5,移动,0,2
1590840240,7,4000,1,adr,移动,13,338
1590840240,7,500,0,adr_tv,移动,1,9
1590840240,7,2000,1,webh5,教育网,0,3
1590840240,5,0,0,adr_tv,电信,0,6
1590840240,7,4000,0,pc_exe,电信,0,46
1590840240,7,4000,1,webh5,电信,0,30
1590840240,7,2000,0,pc_exe,联通,18,63
1590840240,3,4000,0,adr_tv,移动,0,2
1590840240,5,500,1,ios,移动,5,43
1590840240,7,4000,0,pc_exe,联通,0,7
1590840240,7,500,1,ipad,移动,0,6
1590840240,7,4000,0,adr_tv,电信,3,23
1590840240,5,2000,0,adr,移动,0,28
1590840240,3,2000,0,adr,联通,0,21
1590840240,3,8000,1,adr,移动,1,21
1590840240,7,4000,1,adr,小运营商,0,12
1590840240,7,4000,1,ios,海外,1,2
1590840240,7,2000,1,adr,移动,58,1947
1590840240,7,4000,1,ios,联通,2,51
1590840240,7,4000,1,webh5,教育网,0,2
1590840240,3,500,1,ios,电信,4,35
1590840240,6,500,0,ios,移动,0,1
1590840240,7,4000,0,adr_tv,联通,0,18
1590840240,7,2000,1,ios,电信,9,574
1590840240,5,500,1,ios,小运营商,0,3
1590840240,3,500,1,adr,移动,1,42
1590840240,5,2000,1,adr,教育网,0,4
1590840240,7,0,0,webh5,联通,0,2
1590840240,5,2000,1,ipad,电信,0,18
1590840240,7,500,0,adr,联通,3,5
1590840240,7,2000,1,webh5,电信,0,600
1590840240,7,2000,0,pc_exe,电信,40,226
1590840240,7,0,0,webh5,电信,0,1
1590840240,3,4000,0,ios,移动,0,3
1590840240,7,500,0,pc_exe,移动,0,9
1590840240,5,2000,1,ipad,联通,0,3
1590840240,7,2000,1,pc_exe,小运营商,0,12
1590840240,3,500,0,ios,联通,0,6
1590840240,4,2000,1,ios,电信,0,1
1590840240,7,4000,0,ios,电信,0,3
1590840240,7,500,1,ios,移动,7,157
1590840240,3,2000,1,ios,移动,4,113
1590840240,7,0,1,ios,联通,0,2
1590840240,5,500,0,adr_tv,移动,0,3
1590840240,7,2000,0,ios,联通,3,3
1590840240,7,0,0,adr_tv,联通,0,20
1590840240,5,4000,0,pc_exe,海外,0,3
1590840240,5,4000,0,pc_exe,电信,0,9
1590840240,7,2000,1,ipad,海外,0,3
1590840240,3,0,0,adr_tv,移动,0,9
1590840240,5,4000,1,ios,联通,0,1
1590840240,5,2000,0,adr,教育网,0,3
1590840240,3,2000,1,ios,小运营商,1,14
1590840240,5,4000,0,adr_tv,联通,2,3
1590840240,7,4500,1,ios,电信,0,1
1590840240,5,2000,1,ios,电信,5,119
1590840240,7,500,1,ios,小运营商,0,4
1590840240,7,2000,1,adr,教育网,0,6
1590840240,7,2000,0,ios,电信,5,6
1590840240,7,500,1,adr,海外,0,6
